Model,"Fidelity SHAP (mean |Δp|, k=5)","Fidelity LIME (mean |Δp|, k=5)","Robustness LIME (mean Jaccard, top-5, N=5)",SHAP↔LIME Jaccard (top-5),"Runtime SHAP (median, ms)","Runtime LIME (median, ms)"
RF,0.3445,0.2661,0.844,0.458,0.4,37.0
XGB,0.2172,0.1386,0.728,0.398,2.1,22.4
