Model,k,Mean Jaccard,Median Jaccard,Std
RF,3,0.48750000000000004,0.5,0.2513836709096277
RF,5,0.4575396825396825,0.42857142857142855,0.09751010180821537
RF,10,0.40155467571644043,0.42857142857142855,0.0654828789137901
XGB,3,0.5732,0.5,0.2765533583234888
XGB,5,0.3978412698412699,0.42857142857142855,0.1413152272376602
XGB,10,0.46346224853577794,0.42857142857142855,0.09289937306452492
