Model,k,SHAP_mean,SHAP_median,LIME_mean,LIME_median
RF,3,0.25619000000000003,0.26,0.22211999999999998,0.155
RF,5,0.34451,0.35,0.26615,0.27499999999999997
RF,10,0.41430999999999996,0.39,0.31714,0.31
XGB,3,0.09813903272151947,0.003261848818510771,0.10131477564573288,0.0001474618911743164
XGB,5,0.2171734720468521,0.025551438331604004,0.13857930898666382,0.001590132713317871
XGB,10,0.5021434426307678,0.47220730781555176,0.3915059566497803,0.074556365609169
