Model,Accuracy,Precision,Recall,F1,ROC-AUC,TN,FP,FN,TP
RF,1.0000,1.0000,1.0000,1.0000,1.0000,5860,0,0,5860
XGB,0.9999,0.9998,1.0000,0.9999,1.0000,5859,1,0,5860
