Model,Method,Median time [s],Mean time [s],95%-tile [s]
RF,SHAP (TreeSHAP),0.0003903754986822605,0.00040000412707740906,0.0004571982495690463
RF,LIME,0.037029146002169,0.03692691808193922,0.037861104149487804
XGB,SHAP (TreeSHAP),0.002114292001351714,0.0021295300969359234,0.002260512503562495
XGB,LIME,0.02240637499926379,0.022505848415035872,0.023414114299157518
